Month,Day,Followers,Non-Followers,Total Reach,Home Imp,Profile Imp,Total Watch Time,Average Watch Time,Hashtags/Location Imp,Other Imp,Total Imp,Time,Post Type,Post Description,Hashtag/Non-Followers,Feed,,,
August,25,235,14,249,290,,0:23,3,,,293.0159722,12:42,Reel,pin video,21%,n,,reach avg video,480.40
August,29,296,12,308,360,,0:33,5,,,365.0229167,12:14,Reel,pin video,42%,n,,reach avg archive,293.25
July,2,260,119,379,334,178,,,11,5,528,20:45,Lifestyle,carousel,9%,y,,,
July,5,226,105,331,292,159,,,11,15,477,16:13,Lifestyle,collage/carousel,10%,y,,,
July,8,387,485,872,416,131,,,344,95,986,16:13,Infographic,drink announcement,71%,y,,,
July,13,364,105,469,484,118,,,18,17,637,12:48,Lifestyle,pinterest carousel,17%,y,,,
July,19,240,29,269,385,,0:35,5,,,390.0243056,19:19,Product,summer sale reel,17%,y,,,
July,21,246,55,301,354,75,,,18,10,457,16:07,Lifestyle,scrapbook,33%,y,,,
July,22,246,185,431,362,188,,,21,30,601,16:05,Product,summer collab,11%,y,,,
July,29,239,157,396,352,70,,,101,21,544,13:01,Product,product choice,64%,y,,,
July,8,493,285,778,975,,2:05,7,,,982.0868056,13:45,Reel,announcement/shots,2%,n,,,
July,10,390,136,526,665,,1:24,8,,,673.0583333,15:00,Reel,pina colada,6%,n,,,
July,11,367,73,440,585,,1:01,6,,,591.0423611,12:21,Reel,mojito,8%,n,,,
July,19,369,57,426,545,,1:10,8,,,553.0486111,18:30,Reel,daiquiri,14%,n,,,
July,24,483,59,542,722,,1:16,6,,,728.0527778,19:08,Reel,tequila,10%,n,,,
July,28,534,78,612,763,,1:20,6,,,769.0555556,18:48,Reel,coke,8%,n,,,
June,6,383,154,543,651,,1:04,5,,,656.0444444,17:20,Reel,product reel,3%,y,,,
June,7,544,196,747,597,157,,,101,8,863,17:06,Product,grad graphic,52%,y,,,
June,10,381,153,544,553,112,,,91,12,768,18:40,Product,product photo,59%,y,,,
June,13,480,174,667,703,185,,,58,19,965,17:34,Infographic,pride announcment,33%,y,,,
June,18,941,377,1336,1420,244,,,74,42,1780,19:11,Infographic,TED talk,20%,y,,,
June,24,485,57,566,565,110,,,3,1,679,20:10,Infographic,Promo,5%,y,,,
June,13,330,223,566,760,,1:04,4,,,764.0444444,13:13,Reel,Pride reel,2%,n,,,
June,14,355,41,410,520,,0:43,3,,,523.0298611,17:03,Reel,Pride reel...,7%,n,,,
June,16,265,17,298,316,,0:35,6,,,322.0243056,17:12,Reel,PRIDE REEL AGAIN,35%,n,,,
June,17,455,191,663,792,,1:10,4,,,796.0486111,19:10,Reel,ANOTHER ONE,2%,n,,,
June,26,991,67,1084,1333,,5:26,14,,,1347.226389,14:23,Reel,Company would you rather,21%,n,,,
